,0
1152,0.0
1153,0.0
1154,0.0
1155,0.035714287
1156,0.0
1157,0.0
1158,0.0
1159,0.071428575
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.035714287
1165,0.0018754364
1166,0.0
1167,0.035714287
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.2857143
1173,0.21428572
1174,0.0
1175,0.0
1176,0.0
1177,0.4444889
1178,0.0
1179,0.0
1180,0.0
1181,0.035714287
1182,0.035714287
1183,0.0
1184,0.2857143
1185,0.071428575
1186,0.035714287
1187,0.0
1188,0.66597146
1189,1.5714285
1190,0.21428572
1191,0.5
1192,0.071428575
1193,0.60714287
1194,0.75
1195,0.25
1196,0.2857143
1197,0.071428575
1198,0.071428575
1199,0.071428575
1200,1.1428572
1201,0.9285714
1202,0.5
1203,0.35714287
1204,0.17857143
1205,0.75
1206,0.42857143
1207,0.32142857
1208,0.0
1209,0.17857143
1210,0.035714287
1211,0.5714286
1212,0.2857143
1213,0.071428575
1214,0.5714286
1215,0.035714287
1216,0.0
1217,0.0
1218,0.53571427
1219,0.85714287
1220,0.0
1221,0.5
1222,0.0
1223,0.071428575
1224,0.5714286
1225,0.25
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.035714287
1231,0.0
1232,0.071428575
1233,0.17857143
1234,0.0
1235,0.0
1236,0.14285715
1237,0.10714286
1238,0.0
1239,0.25
1240,0.0
1241,0.018017728
1242,0.32142857
1243,0.10714286
1244,0.0
1245,0.0
1246,0.0
1247,0.071428575
1248,0.39285713
1249,0.035714287
1250,0.0
1251,0.035714287
1252,0.0
1253,0.0
1254,0.25
1255,0.14285715
1256,0.0
1257,0.035714287
1258,0.0
1259,0.071428575
1260,0.0
1261,0.10714286
1262,0.035714287
1263,0.14285715
1264,0.0
1265,0.17857143
1266,0.0
1267,0.035714287
1268,0.0
1269,0.32142857
1270,0.035714287
1271,0.035714287
1272,0.5
1273,0.0
1274,0.071428575
1275,0.21428572
1276,0.035714287
1277,0.035714287
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.78571427
1297,1.9642857
1298,0.89285713
1299,2.3214285
1300,0.8214286
1301,2.642857
1302,0.17857143
1303,1.0357143
1304,0.2534035
1305,0.6785714
1306,0.10714286
1307,0.78571427
1308,2.9642856
1309,1.3571428
1310,0.32142857
1311,3.642857
1312,0.21428572
1313,0.53571427
1314,0.32142857
